id,nature,X,Y
2185,Misc,648628.1872914,6862248.5958354
2186,Misc,648626.9383149,6862481.9645940
2187,Misc,648676.9178404,6862442.7464789
2188,Misc,648675.1232514,6862446.5647763
2189,Misc,648831.1500000,6861958.7500000
2190,Misc,648721.7711111,6861867.3677778
2191,Misc,648738.7109375,6861885.4678125
2192,Misc,648750.5155321,6861854.9357191
2193,Misc,648762.0500000,6861062.4000000
2194,Misc,648725.4262026,6861108.8734578
2195,Misc,648728.4729373,6861115.7409241
2196,Misc,648741.3500000,6861903.7000000
2197,Misc,648737.8948563,6862740.5030257
2198,Misc,648723.3531486,6862740.1685431
2199,Misc,648759.6592920,6862541.3091445
2200,Misc,648707.7761229,6862239.8836879
2201,Misc,648709.8432099,6862244.4333333
2202,Church,648720.4603499,6862655.4208106
2203,Misc,648713.9827534,6862678.7871060
2204,Misc,648937.3851485,6860943.2519252
2205,Misc,648809.2690838,6861467.7495036
2206,Misc,648836.5123334,6861385.9352971
2207,Misc,648802.7422410,6861244.4848240
2208,Misc,648883.5050468,6861378.3847891
2209,Misc,648926.5663468,6861364.9847054
2210,Misc,648799.3500000,6861112.3500000
2211,Misc,648843.4916634,6861656.6582656
2212,Misc,648935.2554143,6861316.9580848
2213,Misc,648840.0345312,6861092.6641607
2214,Misc,648934.4000000,6861531.1500000
2215,Misc,648813.8500000,6861138.8500000
2216,Misc,648835.4018268,6861495.5919908
2217,Misc,648825.7832512,6861435.4669984
2218,Misc,648908.7353728,6861072.0838751
2219,Misc,648698.6551961,6860929.3942008
2220,Misc,648180.3641047,6860940.9111728
2221,Misc,648401.8139829,6860929.9766351
2222,Misc,649086.6439024,6860133.1390244
2223,Misc,649107.9529562,6860171.0209038
2224,Misc,649094.7709611,6860138.5932847
2225,Misc,649371.3000000,6860181.0500000
2226,Misc,649648.0942029,6860561.8119807
2227,Misc,649633.4483963,6860683.3300419
2228,Misc,649437.9432288,6860767.7202555
2229,Misc,649430.3670342,6860763.8048243
2230,Misc,649632.1513348,6860717.3491233
