id,numpoints,X,Y
2063,1,654031.6570492,6864901.1997295
2064,2,654117.7973979,6864695.5366015
2065,7,650192.8465101,6858480.7154135
2066,2,650305.1640816,6859335.9105775
2067,4,650911.2377449,6858823.6638084
2068,3,650681.1430753,6863697.5246207
2069,2,654403.1950644,6863650.0692398
2070,4,650661.3952599,6859553.3483954
2071,4,650754.6946721,6859606.2929745
2072,6,648085.4578425,6859113.5612189
2073,1,654203.3135103,6864853.8013267
2074,2,654054.8027823,6864711.9760423
2075,5,654017.7684239,6864574.1053093
2076,5,650623.0203358,6863748.7593671
2077,1,654120.8957670,6864913.0863130
2078,2,650788.4148593,6863968.5772464
2079,2,655771.8725006,6861303.9647994
2080,3,650710.0243605,6863922.4104444
2081,1,647902.3047299,6860905.2349495
2082,1,650725.4870696,6864566.6977997
2083,4,656217.0123300,6860214.0359380
2084,2,650718.3099613,6864658.8629422
2085,3,650704.8269698,6864748.7697692
2086,1,655667.4206808,6861318.4992897
2087,4,652647.3515114,6858453.6161844
2088,2,655815.7774220,6861170.2599424
2089,1,649954.5078898,6865385.9930225
2090,1,648054.2412677,6865547.3716376
2091,2,649622.0531578,6865241.0978763
2092,1,649568.5426300,6865129.6445624
2093,3,649712.8269812,6864701.3215552
2094,3,650310.3004943,6865580.8362216
2095,1,646635.1832543,6862026.6865090
2096,2,649525.0188069,6864693.5954773
2097,4,650257.9749731,6865464.6831914
2098,1,647440.5239022,6860214.2654548
2099,4,654407.1739107,6861556.6354648
2100,2,654327.9693173,6861535.2797237
2101,1,647643.9184247,6861189.5372158
2102,3,650169.9021681,6865896.7162115
2103,2,648258.3592126,6859710.9425007
2104,4,650118.1439810,6865903.4624229
2105,12,650039.9229564,6865823.8667135
2106,2,650092.4788787,6865710.0267197
2107,1,648921.4169476,6859116.0735001
2108,3,652183.4451241,6866343.8359530
2109,3,652117.4131170,6866364.1879664
2110,2,654394.6257925,6859186.5981327
2111,8,650080.2181304,6865518.2455234
2112,5,649045.4120763,6865319.2355019
2113,9,650275.8249422,6865883.2076765
2114,2,649467.9215789,6859556.1480515
2115,8,652629.4317629,6858967.3453015
2116,4,650221.1681510,6865891.4103484
2117,2,648196.9938963,6863876.3114167
2118,4,650285.5674765,6865189.0241026
2119,2,650627.4805248,6862241.4260136
2120,2,647741.1241755,6860403.0333707
2121,2,650007.2941591,6862164.6199583
2122,10,653341.6033408,6862514.4285385
2123,1,652479.8715721,6864809.2252119
2124,4,652733.1236225,6858411.5637493
2125,1,652776.9669461,6858243.0272282
2126,1,652817.3905548,6858379.8832255
2127,1,650456.3431409,6859572.9027790
2128,1,650561.4340742,6859734.1502227
2129,4,653289.2839478,6857845.0224531
2130,8,650256.4145890,6866060.2506922
2131,3,654921.5168821,6860371.8159950
2132,2,654980.5187642,6860300.0614576
2133,3,652388.9974705,6860212.9265837
2134,1,654875.3803089,6862458.1117671
2135,1,650691.8290018,6858707.9083671
2136,1,652345.0924858,6860114.0232040
2137,3,650729.7182475,6859005.2496723
2138,1,652444.4553024,6860240.7004322
2139,2,650562.2277125,6865109.7364673
2140,1,652398.2495403,6860266.8207752
2141,1,650616.1278165,6866149.0342427
2142,2,650469.5669050,6860498.3261855
2143,6,652920.4143387,6865480.7538078
2144,1,655035.3269535,6859257.7016899
2145,3,650581.3029393,6865799.9153252
2146,3,652289.0971480,6861367.0346571
2147,1,654965.5754747,6860828.6362178
