DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,ORIGINE,NUMPOINTS,X,Y
189,75108,PARIS 8E ARRONDISSEMENT,3209,751083209,EUROPE 9,A,,27,649707.8329408,6864051.1938499
190,75108,PARIS 8E ARRONDISSEMENT,3210,751083210,EUROPE 10,A,,14,649445.1919453,6864239.5417260
191,75109,PARIS 9E ARRONDISSEMENT,3301,751093301,SAINT-GEORGES 1,H,,8,651486.3295710,6864498.8469879
192,75109,PARIS 9E ARRONDISSEMENT,3302,751093302,SAINT-GEORGES 2,H,,12,651321.4815047,6864400.8750639
193,75109,PARIS 9E ARRONDISSEMENT,3303,751093303,SAINT-GEORGES 3,H,,3,651078.9426449,6864496.4371333
194,75109,PARIS 9E ARRONDISSEMENT,3304,751093304,SAINT-GEORGES 4,H,,2,650897.4348014,6864598.9261761
195,75109,PARIS 9E ARRONDISSEMENT,3305,751093305,SAINT-GEORGES 5,H,,11,650742.3729539,6864582.8239994
196,75109,PARIS 9E ARRONDISSEMENT,3306,751093306,SAINT-GEORGES 6,H,,1,650870.1070724,6864989.0562961
197,75109,PARIS 9E ARRONDISSEMENT,3307,751093307,SAINT-GEORGES 7,H,,8,651128.2271379,6864760.5524309
198,75109,PARIS 9E ARRONDISSEMENT,3308,751093308,SAINT-GEORGES 8,H,,2,651212.4660533,6864925.8248994
199,75109,PARIS 9E ARRONDISSEMENT,3309,751093309,SAINT-GEORGES 9,H,,4,651334.6189327,6864675.6439191
200,75109,PARIS 9E ARRONDISSEMENT,3310,751093310,SAINT-GEORGES 10,H,,4,651509.9126062,6864743.2172843
201,75109,PARIS 9E ARRONDISSEMENT,3311,751093311,SAINT-GEORGES 11,A,,8,650746.5912665,6864265.5116376
202,75109,PARIS 9E ARRONDISSEMENT,3401,751093401,CHAUSSEE D'ANTIN 1,A,,0,651244.1831485,6863757.0806934
203,75109,PARIS 9E ARRONDISSEMENT,3402,751093402,CHAUSSEE D'ANTIN 2,A,,0,651008.3595457,6863726.7891440
204,75109,PARIS 9E ARRONDISSEMENT,3403,751093403,CHAUSSEE D'ANTIN 3,A,,30,650735.9529258,6863734.7920222
205,75109,PARIS 9E ARRONDISSEMENT,3404,751093404,CHAUSSEE D'ANTIN 4,A,,12,650820.5296558,6863965.4607964
206,75109,PARIS 9E ARRONDISSEMENT,3405,751093405,CHAUSSEE D'ANTIN 5,A,,12,651111.8720962,6863934.5272141
207,75109,PARIS 9E ARRONDISSEMENT,3406,751093406,CHAUSSEE D'ANTIN 6,A,,0,651340.7234961,6863913.6998152
208,75109,PARIS 9E ARRONDISSEMENT,3407,751093407,CHAUSSEE D'ANTIN 7,A,,9,651372.4305913,6864151.0547070
209,75109,PARIS 9E ARRONDISSEMENT,3408,751093408,CHAUSSEE D'ANTIN 8,A,,21,651108.3793909,6864153.0434781
210,75109,PARIS 9E ARRONDISSEMENT,3409,751093409,CHAUSSEE D'ANTIN 9,A,,43,650798.0456035,6864096.3597858
211,75109,PARIS 9E ARRONDISSEMENT,3501,751093501,FAUBOURG MONTMARTRE 1,H,,12,651995.5469239,6863818.5776502
212,75109,PARIS 9E ARRONDISSEMENT,3502,751093502,FAUBOURG MONTMARTRE 2,H,,8,651662.1664310,6864133.8000871
